Employee_ID,Training Date,Training Type,Training Outcome,Location,Trainer,Training Duration(Days),Training Cost
1026,2021-11-08,External,Incomplete,Cynthiachester,Jennifer Robinson,4,431.57
1027,2021-10-13,External,Incomplete,East Jackstad,Mr. Robert Byrd MD,4,357.57
1028,2021-09-11,Internal,Incomplete,East Christopher,Gina Moore,3,804.06
1029,2020-06-29,Internal,Failed,Lake Anthonyton,Christopher Rowland,5,729.41
1030,2022-03-06,Internal,Completed,Longton,Wendy Gibson,1,169.46
1031,2019-09-25,Internal,Failed,New Williamland,Ashley Gonzalez,1,833.28
1032,2021-04-28,External,Completed,New Jackie,Cynthia Bradley,3,482.23
1033,2020-04-18,Internal,Incomplete,Smithshire,William Smith,4,169.85
1034,2019-02-19,Internal,Failed,Lake Anthony,Cynthia Brown,1,570.62
1035,2018-07-18,Internal,Completed,New Nancy,Joseph Mendoza,2,724.14
1036,2017-09-13,External,Failed,Michaelmouth,Laura Gonzalez,3,305.98
1037,2019-04-30,Internal,Failed,North Stephanie,Alexandra Hall,2,646.76
1038,2017-12-03,External,Failed,Jamesland,Eric Davis,2,516.89
1039,2020-11-08,External,Passed,East Williamport,Heather Silva,5,520.41
1040,2021-04-13,Internal,Completed,Robertsmouth,Robert Johnson,5,712.84
1041,2019-05-06,Internal,Completed,Reesefurt,Taylor Baker,3,871.12
1042,2018-09-09,Internal,Passed,New Jesusfort,Brian Maynard,1,228.11
1043,2019-07-29,External,Completed,West Danielside,Todd Mason,2,289.93
1044,2017-11-14,External,Incomplete,Smithborough,Stephanie Navarro,4,920.78
1045,29-02-2019,External,Completed,West Josephport,Jay Wilkins,2,690.41
1046,2022-01-15,Internal,Failed,Lake Jose,Jason Morgan,2,211.39
1047,2022-06-29,Internal,Passed,Smithland,James Phelps,2,606.63
1048,2019-03-09,Internal,Completed,Powelltown,Ronald Rivera,5,503.99
1049,2020-09-21,Internal,Completed,Gonzalezfort,Dr. Patricia Johnson,2,518.54
1050,2022-06-12,Internal,Completed,Samanthaport,James Reed,1,846.43
1051,2018-04-07,Internal,Passed,Hardingfort,Mark Morgan,3,572.94
1052,2017-09-17,Internal,Incomplete,Larryview,Robin Becker,4,234.76
1053,2021-08-02,External,Passed,Valdezfort,Erika Roberts,4,704.7
1054,2021-09-08,External,Failed,Tammyfurt,Cynthia Porter,3,533.97
1055,2018-03-07,Internal,Passed,West Robert,Anna Petty,2,125.7
1056,2018-10-29,Internal,Completed,South Julieville,Julie Cole,2,442.06
1057,2020-09-26,Internal,Failed,East Amanda,Andrew Herrera,4,649.23
1058,2017-08-29,External,Incomplete,South Jesusport,Amanda Christian,1,855.67
1059,2020-10-26,Internal,Incomplete,Brianville,Victoria Vasquez,3,256.82
1060,2021-10-31,Internal,Completed,East Andres,Cindy Schultz,1,770.84
1061,2022-03-15,Internal,Incomplete,Paigefurt,Nathan Mitchell,2,862.33
1062,2021-09-09,Internal,Failed,Carolinemouth,Taylor Barron,5,702.84
1063,2021-03-04,Internal,Completed,Onealland,Eric Harris,1,523.82
1064,2018-02-11,External,Passed,South Charlene,Jacqueline Barton,1,819.86
1065,2020-01-26,External,Passed,East Leah,Kara Frazier MD,4,486.01
1066,2018-11-26,Internal,Completed,Brandonberg,Travis Knox,5,769.42
1067,2018-07-15,External,Completed,Toddtown,Joseph Long,5,857.65
1068,2019-06-18,External,Completed,Richardmouth,Ashley Wright,1,238.27
1069,2022-06-22,Internal,Failed,South Angelaview,Brandi Petersen,5,886.06
1070,2020-12-02,Internal,Failed,Robertside,Zachary Wilson,1,943.8
1071,2020-12-08,Internal,Completed,Johnport,Amanda Medina,5,234.26
1072,2022-04-26,Internal,Passed,Mendozamouth,Melissa Campos,5,179.91
1073,2017-09-25,Internal,Failed,Ivanburgh,Ryan Hunter,4,306.3
1074,2017-11-20,Internal,Passed,Davisberg,Ashley Garrett,5,103.42
1075,2019-08-30,Internal,Passed,East Darryl,Ronald Ortiz,4,573.29
1076,2018-10-01,External,Incomplete,Jamieville,Becky Hebert,4,619.61
1077,2021-01-20,Internal,Incomplete,West Brookechester,Joshua Kirk,1,947.17
1078,2020-10-10,External,Passed,Villanuevaborough,Patrick Bryant,1,597.64
1079,2019-08-29,External,Incomplete,North Jon,Maria Jones,5,861.1
1080,2018-08-27,External,Passed,Mcleanburgh,Sandra Joseph,4,199.14
1081,2020-02-25,External,Failed,Brandonview,Samuel Wilson,3,526.08
1082,2020-07-13,External,Incomplete,New Colinfort,Angela Colon,5,662.15
1083,2020-04-14,External,Completed,North Brandy,Molly Hughes,4,869.89
1084,2019-02-10,External,Completed,West Jessicatown,Morgan Thomas,3,295.4
1085,2020-08-17,External,Passed,East Katherinetown,Bradley Petersen,5,993.13
1086,2022-04-17,External,Completed,East Robertside,Patrick Andrews,2,641.69
1087,2021-09-02,Internal,Incomplete,Heatherview,Ryan Crawford,5,197.34
1088,2019-04-15,External,Failed,North Elizabeth,Keith Richardson,2,235.15
1089,2021-03-09,Internal,Passed,North Amanda,Jasmin Walker,2,697.28
1090,2021-04-07,External,Completed,Wrightton,Tracy Sanchez,1,910.33
1091,2019-02-19,Internal,Incomplete,Port Patricia,Jennifer Bailey,2,213.91
1092,2020-04-10,Internal,Completed,Wilkinsfurt,Heather Gutierrez,5,971.46
1093,2020-12-19,External,Failed,West Matthew,George Burns,5,995.52
1094,2019-12-13,Internal,Failed,South Joshuatown,Richard Mckee,4,161.4
1095,2018-02-26,Internal,Passed,New Kimberly,Jeremy Schneider,4,715.87
1096,2019-03-02,External,Incomplete,Alexandriachester,Adam Robinson,5,778.25
1097,2020-06-25,Internal,Completed,Port Danielmouth,Ryan Bradley,1,609.5
1098,2020-07-26,External,Failed,Rachelshire,Kimberly Smith,5,666.67
1099,2021-07-03,External,Incomplete,Arthurmouth,Linda Carter,5,797.05
1100,2021-09-15,External,Completed,Brownmouth,Sarah Cain,3,518.56
1101,2019-05-01,Internal,Passed,Osbornfort,Matthew Mason,5,426.82
1102,2021-10-13,External,Failed,Taylorburgh,Timothy Freeman,2,150.04
1103,2019-01-03,External,Passed,Hoffmanview,Richard Johnson,3,308.21
1104,2018-11-13,Internal,Completed,West Joel,Gloria Phillips,4,766.77
1105,2022-06-17,Internal,Incomplete,Lake Heidi,Sarah Payne,4,172.19
1106,2020-10-14,Internal,Completed,Port Jacob,Amber Taylor,1,742.55
1107,2020-06-01,Internal,Failed,West Lisafort,Isaac Burke,2,231.28
1108,2017-09-14,Internal,Completed,Ricardoberg,Shane Short,5,124.54
1109,2017-12-11,External,Completed,South Ericburgh,Walter Frazier,5,898.37
1110,2021-08-06,Internal,Passed,Webbmouth,Theodore Robles,2,764.36
1111,2021-05-28,Internal,Failed,Davilatown,Brendan Holmes,5,786.57
1112,2018-06-16,Internal,Failed,Delgadoshire,Eric Davis,3,668.05
1113,2018-12-08,External,Incomplete,Lake Eileenfurt,Brittany Jones,2,956.92
1114,2019-03-12,Internal,Incomplete,Jesusland,Darren Huynh,1,912.27
1115,2019-04-06,Internal,Incomplete,Aguirreland,Brenda Martinez,4,881.71
1116,2022-04-15,Internal,Incomplete,Kempmouth,Ms. Jeanette Webster DDS,4,557.68
1117,2019-11-10,Internal,Completed,Lake Emily,Ashley Jensen,4,271.68
1118,2022-06-29,External,Completed,North Whitney,Patricia Morris,2,299.68
1119,2021-03-07,Internal,Incomplete,Kaylaburgh,John Williams,5,440.28
1120,2020-07-31,Internal,Incomplete,Swansonstad,Joshua Bell,4,553.83
1121,2021-01-20,Internal,Failed,Richardfurt,George Brown,1,428.9
1122,2020-07-11,Internal,Passed,Allentown,Jessica Hodges,3,444.4
1123,2017-10-15,Internal,Completed,Port Misty,Robert Young,4,254.38
1124,2020-11-26,Internal,Failed,Jennyport,Derek Harrell,1,256.21
1125,2017-08-11,Internal,Incomplete,New Gregory,Darren Mccarthy,2,756.19
1126,2019-02-16,Internal,Failed,North Benjaminstad,William Farrell,4,500.45
1127,2019-01-20,External,Incomplete,New Waynehaven,Melissa Miles,2,500.83
1128,2018-03-31,Internal,Incomplete,New Cory,James Perez,1,773.8
1129,2022-01-06,Internal,Passed,Ashleyton,Chad Mccall,2,768.06
1130,2018-07-18,External,Completed,Bellport,Mr. Brandon Turner,3,777.7
1131,2018-02-13,Internal,Incomplete,Garnerhaven,Benjamin Briggs,2,943.05
1132,2017-12-30,Internal,Passed,Robertsburgh,Amber Harris MD,4,475.91
1133,2018-11-06,External,Passed,Blakeshire,Richard Ross,3,107.14
1134,2021-06-01,External,Passed,Robertshire,Carolyn Deleon,1,271.49
1135,2022-03-28,Internal,Passed,West Caitlinport,Andrew Jordan,2,524.23
1136,2018-05-21,External,Completed,Brittanyberg,Danny Smith,3,535.88
1137,2018-01-01,Internal,Passed,Rothville,Monique Williams DVM,5,270.92
1138,2018-01-26,Internal,Failed,Cohenmouth,Stacy Fisher,4,155.14
1139,2020-09-11,External,Completed,Port Brandon,Stephanie Hill,1,930.06
1140,2020-09-26,Internal,Passed,West Michael,Shawn Martin,1,949.81
1141,2022-03-04,Internal,Incomplete,Josephport,Ellen Anderson,1,635.31
1142,2022-07-11,External,Completed,Mistyton,Molly Scott,3,675.04
1143,2018-02-09,Internal,Failed,Geraldmouth,Scott Nelson,3,563.38
1144,2018-04-19,External,Completed,Cherylland,Nicholas Thompson,4,750.25
1145,2021-07-07,Internal,Incomplete,North Madelineville,Teresa Lee,2,401.53
1146,2018-03-12,External,Failed,East Elizabeth,Andrew Hendricks,3,894.88
1147,2019-03-09,Internal,Failed,Lake Dianeton,Ms. Diamond Knox,2,247.58
1148,2020-05-18,External,Passed,West Danieltown,Tamara Lee,3,529
1149,2020-04-28,External,Failed,East Nicolefort,Michael Roberts,5,483.99
1150,2020-07-21,External,Incomplete,Simmonston,Heather Murillo,5,797.35
1151,2018-09-15,External,Passed,New Ronald,Christopher Perry,4,707.59
1152,2018-05-04,External,Incomplete,Taraland,Kelly Golden,2,564.48
1153,2020-05-20,Internal,Failed,Jesusmouth,Kyle Hernandez,4,555.35
1154,2018-12-16,Internal,Incomplete,West Sandra,Danielle Decker,3,338.48
1155,2019-11-20,Internal,Failed,Port Peggyberg,Michael Price,1,339.01
1156,2019-08-19,Internal,Incomplete,North Kayla,Michael Williams,5,939.49
1157,2020-04-28,External,Passed,Jamiestad,Jeffery Brown,1,276.47
1158,2019-08-14,External,Completed,South Stephen,Grant Rodriguez,3,154.71
1159,2020-12-22,External,Failed,Diazside,Mrs. Elizabeth Murray DDS,3,674.24
1160,2018-02-01,External,Failed,Lake Nancyshire,Susan Myers,2,137.96
1161,2020-05-10,Internal,Passed,Port Charleneborough,Jeffrey Hester,5,926.85
1162,2018-06-25,External,Incomplete,Port Michelle,Jose Boyd,1,846.55
1163,2018-04-25,External,Passed,Wrightfort,Robin Morgan,3,734.77
1164,2020-02-25,Internal,Incomplete,New Juanville,Anne Goodman,3,315.09
1165,2020-11-23,Internal,Passed,Nguyenberg,Carlos Wilson,3,686.05
1166,2020-10-05,External,Passed,New Claytonville,Christina Waters,4,942.51
1167,2019-05-30,Internal,Failed,Nicolechester,Paul James,4,782.82
1168,2017-12-11,Internal,Failed,Port Dawn,Austin Gonzalez,1,370.64
1169,2019-09-22,Internal,Incomplete,Eduardostad,Joshua Salas,1,487.66
1170,2018-07-28,External,Incomplete,Christopherport,Andrew Wright,1,179.85
1171,2019-06-06,Internal,Completed,Perryside,Amanda Richardson,1,294.74
1172,2017-09-28,External,Passed,North Christina,Jessica Odom,5,202.09
1173,2019-04-12,Internal,Passed,Brownington,Penny Stevenson,4,901.42
1174,2021-11-01,External,Incomplete,North Angelahaven,Cindy King,3,454.23
1175,2021-11-21,Internal,Passed,Duffyport,Richard Adkins,3,460.39
1176,2020-04-11,Internal,Completed,East Karen,Jessica Taylor,2,644.72
1177,2017-11-29,External,Passed,New Joseph,Mark Perez,3,436.86
1178,2018-01-16,External,Failed,Gomezville,Christopher Whitehead,1,361.52
1179,2018-09-18,Internal,Passed,Thompsonport,Jackson Stanley,2,229.05
1180,2018-08-01,Internal,Completed,Thompsonfort,Paul Terry,3,787.85
1181,2018-06-18,External,Incomplete,Sullivanland,Jessica Quinn,1,483.82
1182,2018-02-13,External,Passed,West Elizabethfurt,Miranda Brown,5,623.64
1183,2020-06-02,Internal,Incomplete,Silvaview,Jennifer Beasley,4,351.35
1184,2017-10-11,Internal,Completed,Deniseville,Mary Coleman,3,512.51
1185,2020-03-09,Internal,Failed,North Jason,James Larson,5,957.9
1186,2021-01-23,External,Failed,Port John,Renee Calderon,5,886.45
1187,2018-02-24,Internal,Incomplete,Acevedoshire,Margaret Martinez,4,443.55
1188,2019-01-08,Internal,Passed,Martinburgh,Justin Soto,4,899.13
1189,2020-05-13,External,Completed,Cabreramouth,Angela Hammond,1,202.74
1190,2021-02-12,External,Failed,Phillipsfurt,Debbie Miller,4,727.81
1191,2022-02-01,Internal,Completed,Lake Benjamin,Kenneth Kim,2,820.39
1192,2022-02-04,External,Passed,Smithbury,Amber Gonzalez,4,111.94
1193,2022-03-23,External,Failed,North Victorstad,Amy Bush,1,231.96
1194,2022-03-22,Internal,Completed,Floresville,Kevin Welch,2,430.92
1195,2017-11-28,Internal,Failed,East Jason,Autumn Harris,3,638.7
1196,2019-07-09,Internal,Completed,New Caroline,Jeffrey Marshall,5,355.3
1197,2018-02-11,Internal,Passed,Debramouth,Alan Hall,5,575.1
1198,2019-01-09,Internal,Failed,North Yvonne,Jennifer Hayes,1,140.82
1199,2020-11-11,External,Passed,Claytonstad,Christopher Owen,2,663.19
1200,2020-05-15,Internal,Incomplete,South Brendabury,Zachary Alvarez,2,996.77
1201,2018-08-21,External,Passed,Edwardborough,Paul Henderson,2,145.39
1202,2019-09-18,Internal,Incomplete,Connerborough,Kelly Thompson DDS,1,344.74
1203,2021-08-27,External,Incomplete,Ramirezville,Jennifer Miller,5,308.09
1204,2018-02-23,External,Incomplete,Isaiahview,Courtney Mendez,1,610.96
1205,2021-08-08,External,Failed,East Loriberg,Nicole Kelley,3,201.83
1206,2021-09-24,Internal,Passed,Smithstad,Jackie Johnson,5,391.85
1207,2021-03-21,Internal,Completed,East Michaelfort,Kathryn Stephens,5,682.36
1208,2022-06-23,Internal,Passed,Josephside,Sean Jones,3,492.39
1209,2019-10-26,External,Failed,Kruegerville,Emily Pierce,2,197.78
1210,2019-01-29,External,Incomplete,Port Cynthia,Thomas Baker,4,485.44
1211,2021-04-23,External,Passed,South Robinhaven,Kendra Rodriguez,3,557.34
1212,2022-06-15,Internal,Failed,East Frank,Kimberly May,5,817.92
1213,2018-09-19,External,Failed,Johnsonton,Katelyn Ruiz,4,485.39
1214,2022-01-07,Internal,Completed,West Jessica,Bobby Stuart,3,145.13
1215,2019-02-07,External,Passed,West Dianashire,Brian Thompson,4,751.88
1216,2019-04-29,External,Incomplete,Roweport,Carolyn Hamilton,1,136.48
1217,2019-04-16,External,Completed,Jeremytown,Eric Clark,1,857.42
1218,2021-06-16,Internal,Failed,Henryberg,Erica Winters,3,733.16
1219,2018-07-22,External,Failed,West Kevintown,Steven Gutierrez,5,761.31
1220,2022-04-22,External,Passed,West Brittney,Johnathan Doyle,1,920.41
1221,2019-12-28,Internal,Passed,Bonnieborough,Linda Wood,4,167.69
1222,2021-02-23,External,Passed,New Jennifer,Melanie Johnson,2,931.45
1223,2021-08-13,External,Completed,Estradahaven,Daniel Harrison,1,474.36
1224,2018-10-03,Internal,Incomplete,Port Eric,Jeffrey Harvey,5,598.72
1225,2018-10-14,Internal,Completed,Brownland,Douglas Norton,5,557.02
1226,2018-08-30,Internal,Completed,Savageton,Lisa Hall,3,939.92
1227,2020-02-04,External,Failed,Amandahaven,Gregory Pratt,3,669.19
1228,2021-11-23,Internal,Failed,Dustinshire,Bethany Willis,5,525.69
1229,2022-02-25,External,Failed,Lake Melissa,Angela Moore,1,173.66
1230,2018-12-15,External,Completed,New Reneefurt,Emily Tate,1,635.71
1231,2020-08-29,External,Passed,Port Aliciaview,Douglas Dean,1,896.8
1232,2021-11-04,Internal,Incomplete,East Katieport,Jill Fox DVM,4,857.61
1233,2018-10-02,Internal,Failed,Robertfurt,Jennifer Turner MD,3,460.59
1234,2018-05-24,Internal,Passed,Meganside,Michael Butler,1,504.82
1235,2021-02-28,Internal,Failed,Cookebury,Roberto Brennan,3,737.91
1236,2022-06-13,External,Passed,Williamsbury,Gerald Wilson,2,244.25
1237,2018-10-07,External,Passed,Cervantesshire,Catherine Henderson,2,762.82
1238,2019-10-06,Internal,Incomplete,West Marialand,Vanessa Valdez,2,640.14
1239,2018-11-22,Internal,Incomplete,East Alyssa,Melanie Middleton,3,726.03
1240,2021-04-29,External,Passed,East Nicoletown,Stacy Morton,5,758.75
1241,2021-12-11,External,Failed,Lewismouth,Susan Johnson,5,878.94
1242,2022-08-06,External,Passed,East Chaseside,Daniel Holt,3,227.9
1243,2019-03-28,Internal,Incomplete,Ericmouth,Christopher Jones,3,855.27
1244,2021-08-11,External,Incomplete,Mcmahonton,Charles Farrell,5,170.62
1245,2022-01-26,Internal,Incomplete,Hallton,Garrett Johnson,4,392.14
1246,2018-01-14,Internal,Completed,Joneston,Kathleen Dixon,1,206.93
1247,2021-06-11,External,Completed,East Michaelside,Stephanie Bruce,5,307.13
1248,2019-06-25,Internal,Passed,Ellisonchester,Nicholas Ryan,4,165.05
1249,2019-06-08,Internal,Completed,Cruzmouth,Cheyenne Rice,4,371.27
1250,2017-08-29,External,Incomplete,Margaretmouth,Anna Floyd,3,366.78
1251,2021-10-01,External,Failed,Nancyside,Wyatt Hansen,5,205.92
1252,2020-07-22,Internal,Completed,South Brent,Alicia Moore,1,314.51
1253,2018-12-14,Internal,Completed,South Cynthia,Jodi Gibson DDS,2,793.86
1254,2019-03-27,Internal,Passed,Allisonport,Ryan Adkins,3,252.53
1255,2020-11-25,External,Passed,West Laurafort,Jasmin Flynn,2,693.25
1256,2022-07-08,Internal,Completed,Lake Derekburgh,Kenneth Rodriguez,4,926.76
1257,2020-11-02,Internal,Failed,New Elizabethton,Ryan King,1,694.61
1258,2018-12-01,Internal,Incomplete,Alyssabury,Cody Brown,1,732.02
1259,2021-08-16,Internal,Completed,Port Troyton,Wayne Morgan,1,897.62
1260,2020-04-25,Internal,Completed,Port Rachelshire,Michael Smith,2,786.57
1261,2018-05-17,External,Incomplete,Thompsonberg,Alicia Dunn,3,613.93
1262,2018-05-04,Internal,Passed,Lake Nancy,Donald Gregory,2,711.8
1263,2020-07-16,Internal,Failed,Port Jason,Larry Yang,5,784.1
1264,2019-08-04,Internal,Failed,Port Jameschester,Alexandra Riley,5,509.67
1265,2019-11-23,Internal,Incomplete,Rebeccamouth,Stephen Mcdonald,4,494.96
1266,2018-11-11,Internal,Incomplete,East Christopher,Melissa Brown,5,465.72
1267,2018-05-20,Internal,Failed,Lewisview,Paul Martin,1,507.43
1268,2018-11-05,External,Passed,North Duanemouth,Stephanie Anderson,5,401.97
1269,2017-09-20,External,Passed,Lake Kevin,Tommy Wilson,4,813.9
1270,2019-09-02,External,Completed,South Michael,Carrie Anderson,2,360.02
1271,2019-06-28,Internal,Completed,North Sheila,Gina White,3,692.71
1272,2022-03-22,Internal,Failed,Jonesside,Michelle Holmes,3,233.12
1273,2021-08-30,External,Incomplete,New Seanberg,Sharon Park,1,881.48
1274,2018-10-24,Internal,Passed,West Deanna,Curtis Price,2,448.48
1275,2018-11-09,External,Incomplete,Port Michellechester,Amber Church,3,288.88
1276,2018-07-13,Internal,Failed,East Katherine,Chris Clark,1,572.45
1277,2019-08-31,Internal,Passed,Reneeshire,Sandra Russell,3,141.38
1278,2018-01-25,Internal,Incomplete,Lake Bryan,Donna Barr,1,331.46
1279,2019-11-21,Internal,Incomplete,New Rachelfort,Jose Mcdaniel,4,704.93
1280,2018-09-23,External,Completed,Evanhaven,Robert Novak,4,450.65
1281,2021-12-11,External,Completed,Andrewsfurt,Sarah Walker,3,775.97
1282,2019-08-21,External,Passed,Glennberg,Jasmine Conner,4,376
1283,2018-02-04,External,Failed,Christopherport,Karen Thomas,2,106.54
1284,2020-10-29,External,Completed,New Johnstad,Richard Rogers,1,852.87
1285,2020-07-17,External,Completed,Port Robertmouth,Jessica Wallace,4,469.03
1286,2018-04-28,Internal,Incomplete,West John,Shannon Taylor,2,274.85
1287,2019-07-21,External,Completed,Patrickfort,Charles Olson,1,342.57
1288,2019-01-19,External,Incomplete,North Danielle,Dana Neal,5,948.31
1289,2020-09-12,Internal,Incomplete,Campbellmouth,Steven Sanchez,3,900.52
1290,2021-07-31,External,Completed,East Denisechester,Alyssa Williams,4,140.72
1291,2022-05-18,Internal,Passed,Williamburgh,Leslie Clark,3,913.62
1292,2020-05-25,Internal,Completed,Jessicatown,Stephanie Johnson,5,950.3
1293,2021-07-22,Internal,Passed,Martinton,Cynthia Patton,2,668.77
1294,2018-05-23,Internal,Passed,Michellemouth,Robin Lewis,3,906.05
1295,2019-02-12,Internal,Incomplete,Starkmouth,Timothy Santos,5,689.77
1296,2019-02-16,External,Passed,Clarkfort,Michael Gray,2,694.27
1297,2021-04-29,External,Passed,New Joshuaton,Penny Lopez,3,352.75
1298,2018-10-10,Internal,Passed,Dudleyfurt,Kayla Cruz,3,411.17
1299,2018-04-07,External,Completed,Atkinsonborough,Karen Ritter,3,358.81
1300,2019-07-13,Internal,Passed,Greentown,Jose Young,4,588.64
1301,2020-08-26,Internal,Incomplete,Ellenburgh,Linda Bell,1,472.18
1302,2020-12-23,Internal,Passed,South Jennifer,Jennifer Thornton,2,758.79
1303,2021-12-08,Internal,Failed,Moorehaven,Zoe Vasquez,3,921.81
1304,2021-01-18,External,Completed,Jayfort,Ariel Brown,3,405.08
1305,2019-02-28,Internal,Failed,Lake Jaredstad,Stephen West,3,784.22
1306,2019-05-31,External,Failed,North Ashleytown,Donald Anderson,4,443.99
1307,2019-04-20,Internal,Incomplete,Kimberlyhaven,Keith Mcconnell,3,609.9
1308,2018-03-07,External,Failed,East Diana,Stephen Wheeler,5,742.16
1309,2018-05-29,External,Failed,North Alexandria,Jennifer Rodriguez,3,517.74
1310,2019-10-18,Internal,Incomplete,Williamsshire,Samuel Ward,4,350.59
1311,2017-11-19,Internal,Incomplete,New Jacobton,Christopher Brown,1,546.94
1312,2021-04-15,Internal,Completed,West Davidview,Christopher Mcfarland,4,514.37
1313,2017-08-24,Internal,Incomplete,West Christopher,Gregory Woodward,5,786.98
1314,2021-10-15,Internal,Passed,New Dennis,Douglas Green,4,852.21
1315,2022-02-27,External,Failed,Port Kelly,Gregory Davis,4,761.63
1316,2020-09-22,External,Passed,South Micheleton,Susan Wilson,5,202.62
1317,2019-05-30,External,Passed,West Jacob,Joseph Flowers,5,414.75
1318,2019-09-11,External,Completed,Angelastad,Mindy Saunders PhD,4,344.55
1319,2018-05-31,Internal,Failed,Lake Kenneth,Stephen Parker,1,777.46
1320,2019-07-13,External,Completed,Matthewhaven,Michael Cummings,3,948.71
1321,2020-09-09,Internal,Passed,New Kimberly,Dustin Morgan,5,308.77
1322,2018-04-06,External,Incomplete,Goodmouth,Lynn Cuevas,1,891.25
1323,2020-02-16,Internal,Passed,East Lindsay,Michael Kramer,2,659.9
1324,2019-02-17,Internal,Failed,Lake Theresa,Paul Torres,2,858.72
1325,2020-10-15,External,Failed,Victorville,Robert Chapman,5,380.24
1326,2021-07-06,External,Passed,Flemingport,Bryan Jones,5,505.4
1327,2018-03-05,Internal,Passed,Abbottton,Belinda Gonzalez,3,609.01
1328,2019-06-02,Internal,Failed,West Erinhaven,Jonathan Rodriguez,3,656.38
1329,2019-11-26,External,Passed,Port Victoria,Sandra Bates,5,692.63
1330,2020-05-24,Internal,Incomplete,East Michellechester,Lisa Jenkins,3,633.72
1331,2021-10-17,Internal,Failed,Bradshawburgh,Seth Smith,2,517.62
1332,2021-11-16,External,Incomplete,Anthonystad,Adrian Gray,4,231.76
1333,2021-05-01,Internal,Passed,Thomasborough,Tyler Sanchez,2,605.12
1334,2020-08-24,Internal,Failed,Shawnaport,Felicia Johnson,1,297.12
1335,2022-06-22,Internal,Incomplete,Port Joseph,Joe Anderson,2,384.43
1336,2019-07-18,Internal,Passed,Lopezport,Brian Sanchez,4,969.95
1337,2022-01-12,External,Failed,Dawnchester,Morgan Haas,5,719.7
1338,2021-02-16,External,Incomplete,Donnaland,Calvin Simmons,1,355.83
1339,2021-09-02,Internal,Incomplete,Taylorhaven,Dana Adams,3,754.47
1340,2018-02-02,External,Incomplete,Dennishaven,Sarah Perkins,2,890.39
1341,2020-08-26,Internal,Passed,West Ryan,Justin Ingram,3,268.78
1342,2019-12-31,Internal,Failed,Smithborough,Alejandro Flynn,4,930.72
1343,2019-12-12,External,Completed,West Catherineton,Lori Smith,5,924.85
1344,2021-01-13,Internal,Incomplete,Port Jesse,Marissa Johnson,5,284.38
1345,2020-01-24,External,Passed,Lisaberg,Samantha Chan,1,395.1
1346,2021-02-08,External,Failed,Bellview,James Dominguez,2,501.64
1347,2019-10-11,Internal,Failed,New Vernonberg,Christopher Becker,5,792.72
1348,2018-06-20,Internal,Completed,Lake Peter,Ernest Walter,4,594.15
1349,2020-07-13,Internal,Incomplete,Mooreshire,Zoe Smith,3,870.01
1350,2020-10-14,Internal,Incomplete,North Miguelport,Jennifer Jimenez,2,610.06
1351,2020-11-09,Internal,Passed,Port Brian,Marcia Johnson,2,278.16
1352,2022-04-02,External,Completed,Smithchester,Emily Harmon,4,218.93
1353,2021-10-19,Internal,Incomplete,Clarkehaven,Mark Zamora,5,179.21
1354,2019-05-09,External,Failed,Aprilville,Amanda Brooks,2,983.37
1355,2018-08-18,Internal,Completed,West Mark,Todd Hansen,5,534.28
